기간,순위,프로그램,시청률
2014년 1월 4주,8,정글의법칙IN미크로네시아,15.6
2014년 1월 4주,10,특별기획(세번결혼하는여자),14.3
2014년 2월 1주,3,드라마스페셜(별에서온그대),24.8
2014년 2월 1주,10,스타주니어쇼붕어빵,14.2
2014년 2월 2주,3,드라마스페셜(별에서온그대),25.8
2014년 2월 2주,9,정글의법칙IN미크로네시아,15.9
2014년 2월 3주,2,드라마스페셜(별에서온그대),26.4
2014년 2월 4주,2,드라마스페셜(별에서온그대),27.1
2014년 2월 4주,7,정글의법칙IN미크로네시아,16.3
2014년 2월 4주,8,궁금한이야기Y,15.8
2014년 2월 4주,10,특별기획(세번결혼하는여자),15.3
2014년 3월 1주,3,드라마스페셜(별에서온그대),27.1
2014년 3월 1주,7,정글의법칙더헝거게임,16.4
2014년 3월 1주,8,특별기획(세번결혼하는여자),15.7
2014년 3월 2주,6,특별기획(세번결혼하는여자),16.5
2014년 3월 3주,7,특별기획(세번결혼하는여자),16.3
2014년 3월 4주,7,특별기획(세번결혼하는여자),16.4
2014년 3월 5주,6,특별기획(세번결혼하는여자),16.5
2014년 4월 1주,9,정글의법칙IN보르네오,14.0
2014년 4월 1주,10,아침연속극(나만의당신),12.4
2014년 4월 2주,9,정글의법칙IN보르네오,12.8
2014년 4월 3주,8,아침연속극(나만의당신),11.6
2014년 4월 4주,8,아침연속극(나만의당신),11.9
2014년 4월 4주,10,SBS뉴스속보,11.7
2014년 5월 1주,7,아침연속극(나만의당신),13.9
2014년 5월 1주,8,드라마스페셜(쓰리데이즈),13.0
2014년 5월 2주,6,드라마스페셜(너희들은포위됐다),13.2
2014년 5월 2주,7,아침연속극(나만의당신),13.1
2014년 5월 3주,6,아침연속극(나만의당신),13.9
2014년 5월 3주,7,드라마스페셜(너희들은포위됐다),12.5
2014년 5월 3주,9,SBS월화드라마(닥터이방인),12.4
2014년 5월 3주,10,정글의법칙IN브라질,12.2
2014년 5월 4주,9,SBS월화드라마(닥터이방인),13.3
2014년 5월 4주,10,아침연속극(나만의당신),13.3
2014년 6월 1주,7,아침연속극(나만의당신),15.1
2014년 6월 1주,9,드라마스페셜(너희들은포위됐다),13.2
2014년 6월 1주,10,SBS월화드라마(닥터이방인),12.8
2014년 6월 2주,6,아침연속극(나만의당신),15.3
2014년 6월 3주,5,아침연속극(나만의당신),14.9
2014년 6월 4주,8,아침연속극(나만의당신),14.4
2014년 6월 5주,6,아침연속극(나만의당신),15.0
2014년 7월 1주,4,아침연속극(나만의당신),15.8
2014년 7월 2주,5,아침연속극(나만의당신),15.8
2014년 7월 2주,8,정글의법칙IN인도양,13.2
2014년 7월 3주,6,아침연속극(나만의당신),15.0
2014년 7월 3주,8,정글의법칙IN인도양,13.2
2014년 7월 4주,7,정글의법칙IN인도양,12.7
2014년 8월 4주,8,아침연속극(청담동스캔들),13.8
2014년 8월 5주,10,정글의법칙IN인도양,13.2
2014년 9월 1주,10,아침연속극(청담동스캔들),12.8
2014년 9월 3주,9,아침연속극(청담동스캔들),13.6
2014년 9월 4주,8,정글의법칙IN솔로몬,14.4
2014년 10월 1주,9,아침연속극(청담동스캔들),14.6
2014년 10월 1주,10,정글의법칙IN솔로몬,13.9
2014년 10월 2주,9,아침연속극(청담동스캔들),14.2
2014년 10월 3주,7,아침연속극(청담동스캔들),14.9
2014년 10월 4주,8,아침연속극(청담동스캔들),14.7
2014년 11월 1주,10,아침연속극(청담동스캔들),14.7
2014년 11월 2주,9,아침연속극(청담동스캔들),14.7
2014년 11월 3주,8,아침연속극(청담동스캔들),15.3
2014년 11월 4주,9,아침연속극(청담동스캔들),15.0
2014년 11월 5주,4,아침연속극(청담동스캔들),17.6
2014년 12월 1주,4,아침연속극(청담동스캔들),19.4
2014년 12월 2주,4,아침연속극(청담동스캔들),19.3
2014년 12월 3주,4,아침연속극(청담동스캔들),19.7
2014년 12월 4주,4,아침연속극(청담동스캔들),20.9
2015년 1월 1주,5,아침연속극(청담동스캔들),20.5
2015년 1월 1주,10,정글의법칙IN코스타리카,15.6
2015년 1월 2주,9,정글의법칙IN코스타리카,14.7
2015년 1월 3주,10,정글의법칙IN코스타리카,15.5
2015년 2월 1주,8,SBS스포츠축구(아시안컵한국:호주),16.9
2015년 2월 4주,8,SBS월화드라마(펀치),14.4
2015년 3월 4주,9,정글의법칙WITH프렌즈,13.8
2015년 4월 1주,8,정글의법칙IN인도차이나,14.1
2015년 5월 1주,10,아침연속극(황홀한이웃),12.6
2015년 8월 2주,10,드라마스페셜(용팔이),12.9
2015년 8월 3주,6,드라마스페셜(용팔이),15.4
2015년 8월 4주,4,드라마스페셜(용팔이),19.2
2015년 8월 5주,5,드라마스페셜(용팔이),19.9
2015년 8월 5주,10,아침연속극(어머님은내며느리),13.4
2015년 9월 1주,3,드라마스페셜(용팔이),17.2
2015년 9월 2주,3,드라마스페셜(용팔이),19.2
2015년 9월 2주,9,아침연속극(어머님은내며느리),13.3
2015년 9월 3주,3,드라마스페셜(용팔이),21.2
2015년 9월 3주,10,아침연속극(어머님은내며느리),13.6
2015년 9월 4주,3,드라마스페셜(용팔이),20.1
2015년 9월 4주,7,SBS월화드라마(미세스캅),14.9
2015년 9월 4주,8,아침연속극(어머님은내며느리),13.7
2015년 9월 4주,9,정글의법칙IN니카라과,13.5
2015년 10월 1주,4,드라마스페셜(용팔이),19.4
2015년 10월 1주,7,SBS월화드라마(미세스캅),14.6
2015년 10월 1주,8,일일드라마(돌아온황금복),14.0
2015년 10월 1주,9,정글의법칙IN니카라과,13.7
2015년 10월 2주,9,아침연속극(어머님은내며느리),13.8
2015년 10월 2주,10,일일드라마(돌아온황금복),13.4
2015년 10월 3주,6,일일드라마(돌아온황금복),15.0
2015년 10월 3주,9,아침연속극(어머님은내며느리),13.5
2015년 10월 4주,7,일일드라마(돌아온황금복),14.8
2015년 10월 4주,8,창사특별기획(육룡이나르샤),14.5
2015년 11월 1주,6,일일드라마(돌아온황금복),16.0
2015년 11월 1주,10,아침연속극(어머님은내며느리),13.9
2015년 11월 2주,7,일일드라마(돌아온황금복),15.5
2015년 11월 3주,7,일일드라마(돌아온황금복),14.9
2015년 11월 3주,10,창사특별기획(육룡이나르샤),13.7
2015년 11월 4주,4,SBS스포츠야구(프리미어12한국:미국),18.0
2015년 11월 4주,8,일일드라마(돌아온황금복),14.7
2015년 11월 5주,7,아침연속극(어머님은내며느리),14.6
2015년 11월 5주,8,일일드라마(돌아온황금복),14.4
2015년 11월 5주,10,창사특별기획(육룡이나르샤),13.6
2015년 12월 1주,6,일일드라마(돌아온황금복),15.2
2015년 12월 1주,7,아침연속극(어머님은내며느리),14.4
2015년 12월 1주,9,창사특별기획(육룡이나르샤),13.8
2015년 12월 2주,5,일일드라마(돌아온황금복),16.6
2015년 12월 2주,7,아침연속극(어머님은내며느리),14.6
2015년 12월 2주,9,창사특별기획(육룡이나르샤),13.3
2015년 12월 3주,6,아침연속극(어머님은내며느리),15.4
2015년 12월 3주,9,정글의법칙보물섬사모아,13.9
2015년 12월 3주,10,창사특별기획(육룡이나르샤),13.6
2015년 12월 4주,9,아침연속극(어머님은내며느리),14.6
2016년 1월 1주,9,아침연속극(어머님은내며느리),14.5
2016년 1월 2주,7,드라마스페셜(리멤버아들의전쟁),15.6
2016년 1월 2주,10,창사특별기획(육룡이나르샤),14.2
2016년 1월 3주,7,드라마스페셜(리멤버아들의전쟁),16.4
2016년 1월 3주,8,창사특별기획(육룡이나르샤),15.4
2016년 1월 4주,8,드라마스페셜(리멤버아들의전쟁),15.8
2016년 1월 5주,9,드라마스페셜(리멤버아들의전쟁),15.4
2016년 1월 5주,10,창사특별기획(육룡이나르샤),15.1
2016년 2월 1주,6,드라마스페셜(리멤버아들의전쟁),16.7
2016년 2월 1주,7,창사특별기획(육룡이나르샤),16.5
2016년 2월 2주,6,드라마스페셜(리멤버아들의전쟁),17.1
2016년 2월 3주,5,드라마스페셜(리멤버아들의전쟁),19.2
2016년 2월 3주,8,창사특별기획(육룡이나르샤),15.1
2016년 2월 4주,8,창사특별기획(육룡이나르샤),15.2
2016년 3월 1주,7,창사특별기획(육룡이나르샤),16.1
2016년 3월 2주,7,창사특별기획(육룡이나르샤),16.1
2016년 3월 2주,8,정글의법칙샵TONGA,14.9
2016년 3월 3주,7,창사특별기획(육룡이나르샤),16.4
2016년 3월 3주,10,정글의법칙샵TONGA,14.7
2016년 3월 4주,7,창사특별기획(육룡이나르샤),16.8
2016년 4월 1주,10,일요일이좋다2부(서바이벌오디션K팝스타5),13.7
2016년 4월 2주,9,정글의법칙샵TONGA,13.7
2016년 5월 1주,9,정글의법칙샵TONGA,13.4
2016년 5월 2주,8,정글의법칙파푸아뉴기니,12.8
2016년 6월 1주,10,정글의법칙파푸아뉴기니,12.8
2016년 6월 3주,8,주말특별기획(미녀공심이),13.1
2016년 6월 4주,7,정글의법칙파푸아뉴기니,13.7
2016년 6월 4주,8,월화드라마(닥터스),13.5
2016년 6월 4주,9,주말특별기획(미녀공심이),13.3
2016년 7월 1주,6,월화드라마(닥터스),15.0
2016년 7월 2주,3,월화드라마(닥터스),19.0
2016년 7월 2주,10,주말특별기획(미녀공심이),13.0
2016년 7월 3주,4,월화드라마(닥터스),19.0
2016년 7월 3주,9,주말특별기획(미녀공심이),14.9
2016년 7월 4주,4,월화드라마(닥터스),19.4
2016년 7월 5주,4,월화드라마(닥터스),19.0
2016년 8월 1주,3,월화드라마(닥터스),19.1
2016년 8월 2주,2,월화드라마(닥터스),20.9
2016년 8월 3주,3,월화드라마(닥터스),20.8
2016년 8월 4주,4,월화드라마(닥터스),19.2
2016년 9월 3주,6,추석특선대작(암살2부),16.6
2016년 9월 4주,8,정글의법칙몽골,14.0
2016년 9월 4주,10,드라마스페셜(질투의화신),12.8
2016년 10월 1주,7,정글의법칙몽골,14.3
2016년 10월 2주,7,정글의법칙몽골,15.3
2016년 10월 4주,10,아침연속극(사랑이오네요),12.3
2016년 10월 5주,7,아침연속극(사랑이오네요),12.7
2016년 10월 5주,10,정글의법칙몽골,11.8
2016년 10월 5주,10,미운우리새끼다시쓰는육아일기,11.8
2016년 11월 1주,9,아침연속극(사랑이오네요),12.4
2016년 11월 2주,6,아침연속극(사랑이오네요),13.1
2016년 11월 3주,4,그것이알고싶다,19.0
2016년 11월 3주,6,드라마스페셜(푸른바다의전설),15.8
2016년 11월 3주,9,아침연속극(사랑이오네요),13.3
2016년 11월 4주,4,월화드라마(낭만닥터김사부),17.7
2016년 11월 4주,6,드라마스페셜(푸른바다의전설),16.4
2016년 11월 4주,9,그것이알고싶다,13.9
2016년 11월 4주,9,아침연속극(사랑이오네요),13.9
2016년 12월 1주,2,월화드라마(낭만닥터김사부),20.3
2016년 12월 1주,4,드라마스페셜(푸른바다의전설),17.9
2016년 12월 1주,8,아침연속극(사랑이오네요),14.0
2016년 12월 1주,9,K팝스타더라스트찬스,13.5
2016년 12월 2주,2,월화드라마(낭만닥터김사부),21.6
2016년 12월 2주,4,드라마스페셜(푸른바다의전설),17.4
2016년 12월 2주,7,K팝스타더라스트찬스,14.8
2016년 12월 2주,8,아침연속극(사랑이오네요),14.2
2016년 12월 3주,2,월화드라마(낭만닥터김사부),22.7
2016년 12월 3주,4,드라마스페셜(푸른바다의전설),17.0
2016년 12월 3주,6,그것이알고싶다,14.9
2016년 12월 3주,8,아침연속극(사랑이오네요),14.1
2016년 12월 3주,9,주말드라마(우리갑순이),13.8
2016년 12월 3주,10,K팝스타더라스트찬스,13.6
2016년 12월 4주,2,월화드라마(낭만닥터김사부),22.7
2016년 12월 4주,4,드라마스페셜(푸른바다의전설),17.0
2017년 1월 1주,2,월화드라마(낭만닥터김사부),23.6
2017년 1월 1주,5,드라마스페셜(푸른바다의전설),18.0
2017년 1월 1주,9,정글의법칙IN코타마나도,14.6
2017년 1월 1주,9,그것이알고싶다,14.6
2017년 1월 2주,2,월화드라마(낭만닥터김사부),26.4
2017년 1월 2주,4,드라마스페셜(푸른바다의전설),19.9
2017년 1월 2주,10,K팝스타더라스트찬스,14.4
2017년 1월 3주,2,월화드라마(낭만닥터김사부),27.3
2017년 1월 3주,4,드라마스페셜(푸른바다의전설),19.6
2017년 1월 3주,9,K팝스타더라스트찬스,14.8
2017년 1월 3주,9,정글의법칙IN코타마나도,14.8
2017년 1월 4주,3,드라마스페셜(푸른바다의전설),17.9
2017년 1월 4주,5,설날특선대작(검사외전2부),16.7
2017년 1월 4주,7,드라마스페셜(사임당빛의일기),16.0
2017년 1월 4주,10,월화드라마(피고인),14.7
2017년 2월 1주,5,월화드라마(피고인),18.0
2017년 2월 1주,6,그것이알고싶다,15.5
2017년 2월 1주,9,정글의법칙IN코타마나도,14.5
2017년 2월 1주,10,K팝스타더라스트찬스,14.2
2017년 2월 2주,5,월화드라마(피고인),18.6
2017년 2월 2주,8,미운우리새끼다시쓰는육아일기,15.0
2017년 2월 2주,9,K팝스타더라스트찬스,14.5
2017년 2월 3주,4,월화드라마(피고인),21.5
2017년 2월 3주,9,정글의법칙IN코타마나도,13.9
2017년 2월 3주,10,미운우리새끼다시쓰는육아일기,13.2
2017년 2월 4주,4,월화드라마(피고인),21.8
2017년 2월 4주,9,K팝스타더라스트찬스,13.8
2017년 2월 4주,10,주말드라마(우리갑순이),13.6
2017년 3월 1주,3,월화드라마(피고인),23.1
2017년 3월 1주,7,주말드라마(우리갑순이),15.5
2017년 3월 1주,8,K팝스타더라스트찬스,14.7
2017년 3월 2주,2,월화드라마(피고인),24.3
2017년 3월 2주,7,주말드라마(우리갑순이),16.1
2017년 3월 2주,8,K팝스타더라스트찬스,15.4
2017년 3월 2주,9,순간포착,12.4
2017년 3월 2주,10,그것이알고싶다,11.9
2017년 3월 3주,2,월화드라마(피고인),25.5
2017년 3월 3주,7,주말드라마(우리갑순이),16.7
2017년 3월 3주,9,K팝스타더라스트찬스,14.7
2017년 3월 4주,1,월화드라마(피고인),27.6
2017년 3월 4주,7,주말드라마(우리갑순이),16.8
2017년 3월 4주,8,K팝스타더라스트찬스,15.7
2017년 4월 1주,6,주말드라마(우리갑순이),16.2
2017년 4월 1주,7,K팝스타더라스트찬스,14.8
2017년 4월 1주,9,월화드라마(귓속말),13.7
2017년 4월 1주,10,정글의법칙IN수마트라,13.5
2017년 4월 2주,4,주말드라마(우리갑순이),17.4
2017년 4월 2주,6,K팝스타더라스트찬스,15.7
2017년 4월 2주,7,월화드라마(귓속말),14.4
2017년 4월 3주,5,미운우리새끼다시쓰는육아일기,16.6
2017년 4월 3주,6,월화드라마(귓속말),14.9
2017년 4월 3주,10,국민의선택대통령후보자초청토론1부,11.6
2017년 4월 4주,6,미운우리새끼다시쓰는육아일기,16.5
2017년 4월 4주,7,월화드라마(귓속말),15.5
2017년 4월 5주,3,미운우리새끼다시쓰는육아일기,15.9
2017년 4월 5주,7,월화드라마(귓속말),13.7
2017년 4월 5주,9,아침연속극(아임쏘리강남구),11.6
2017년 5월 1주,3,미운우리새끼다시쓰는육아일기,17.7
2017년 5월 1주,4,월화드라마(귓속말),16.0
2017년 5월 2주,3,미운우리새끼다시쓰는육아일기,16.4
2017년 5월 2주,5,월화드라마(귓속말),15.8
2017년 5월 2주,8,TV동물농장,12.2
2017년 5월 3주,4,월화드라마(귓속말),16.7
2017년 5월 3주,5,미운우리새끼다시쓰는육아일기,16.4
2017년 5월 4주,3,월화드라마(귓속말),19.8
2017년 5월 4주,4,미운우리새끼다시쓰는육아일기,18.4
2017년 5월 4주,7,정글의법칙와일드뉴질랜드,13.0
2017년 5월 4주,9,아침연속극(아임쏘리강남구),12.4
2017년 6월 1주,3,미운우리새끼다시쓰는육아일기,18.2
2017년 6월 1주,6,정글의법칙와일드뉴질랜드,13.4
2017년 6월 1주,7,아침연속극(아임쏘리강남구),12.9
2017년 6월 2주,3,미운우리새끼다시쓰는육아일기,17.0
2017년 6월 2주,6,아침연속극(아임쏘리강남구),12.4
2017년 6월 2주,7,정글의법칙와일드뉴질랜드,12.3
2017년 6월 3주,3,미운우리새끼다시쓰는육아일기,16.6
2017년 6월 3주,10,정글의법칙와일드뉴질랜드,12.2
2017년 6월 4주,4,미운우리새끼다시쓰는육아일기,16.0
2017년 6월 4주,8,정글의법칙와일드뉴질랜드,12.7
2017년 7월 1주,3,미운우리새끼다시쓰는육아일기,16.4
2017년 7월 1주,6,정글의법칙와일드뉴질랜드,14.6
2017년 7월 2주,4,미운우리새끼다시쓰는육아일기,15.0
2017년 7월 2주,6,정글의법칙와일드뉴질랜드,14.5
2017년 7월 3주,6,정글의법칙와일드뉴질랜드,14.6
2017년 7월 3주,7,미운우리새끼다시쓰는육아일기,14.4
2017년 7월 4주,5,미운우리새끼다시쓰는육아일기,15.2
2017년 7월 4주,7,특별기획(언니는살아있다),14.2
2017년 7월 4주,8,정글의법칙INKOMODO,14.0
2017년 7월 5주,6,미운우리새끼다시쓰는육아일기,13.7
2017년 7월 5주,8,정글의법칙INKOMODO,13.0
2017년 7월 5주,9,특별기획(언니는살아있다),12.7
2017년 7월 5주,10,월화드라마(조작),11.8
2017년 8월 1주,4,미운우리새끼다시쓰는육아일기,16.4
2017년 8월 1주,7,특별기획(언니는살아있다),14.1
2017년 8월 1주,9,월화드라마(조작),11.3
2017년 8월 2주,4,미운우리새끼다시쓰는육아일기,15.6
2017년 8월 2주,6,특별기획(언니는살아있다),13.9
2017년 8월 3주,5,특별기획(언니는살아있다),16.1
2017년 8월 3주,6,미운우리새끼다시쓰는육아일기,15.0
2017년 8월 4주,4,특별기획(언니는살아있다),15.0
2017년 8월 4주,7,미운우리새끼다시쓰는육아일기,14.0
2017년 9월 1주,4,특별기획(언니는살아있다),16.7
2017년 9월 1주,6,미운우리새끼다시쓰는육아일기,13.3
2017년 9월 1주,9,정글의법칙INKOMODO,11.3
2017년 9월 1주,9,아침연속극(달콤한원수),11.3
2017년 9월 2주,4,특별기획(언니는살아있다),17.3
2017년 9월 2주,5,미운우리새끼다시쓰는육아일기,15.7
2017년 9월 3주,4,특별기획(언니는살아있다),18.4
2017년 9월 3주,5,미운우리새끼다시쓰는육아일기,16.4
2017년 9월 3주,9,아침연속극(달콤한원수),11.5
2017년 9월 3주,9,월화드라마(조작),11.5
2017년 9월 4주,3,특별기획(언니는살아있다),17.4
2017년 9월 4주,4,미운우리새끼다시쓰는육아일기,16.2
2017년 9월 4주,8,아침연속극(달콤한원수),11.9
2017년 10월 1주,3,특별기획(언니는살아있다),18.5
2017년 10월 1주,4,미운우리새끼다시쓰는육아일기,17.6
2017년 10월 1주,8,아침연속극(달콤한원수),13.0
2017년 10월 2주,3,미운우리새끼다시쓰는육아일기,17.6
2017년 10월 2주,4,특별기획(언니는살아있다),17.5
2017년 10월 3주,2,특별기획(언니는살아있다),20.9
2017년 10월 3주,4,미운우리새끼다시쓰는육아일기,19.1
2017년 10월 3주,9,아침연속극(달콤한원수),12.7
2017년 10월 3주,10,순간포착,12.2
2017년 10월 4주,2,미운우리새끼다시쓰는육아일기,21.3
2017년 10월 4주,9,순간포착,11.9
2017년 10월 4주,10,아침연속극(달콤한원수),11.8
2017년 10월 5주,3,미운우리새끼다시쓰는육아일기,19.7
2017년 10월 5주,9,아침연속극(달콤한원수),11.7
2017년 10월 5주,9,순간포착,11.7
2017년 11월 1주,3,미운우리새끼다시쓰는육아일기,17.6
2017년 11월 1주,8,아침연속극(달콤한원수),12.1
2017년 11월 2주,3,미운우리새끼다시쓰는육아일기,18.4
2017년 11월 2주,8,아침연속극(달콤한원수),12.2
2017년 11월 3주,2,미운우리새끼다시쓰는육아일기,18.1
2017년 11월 3주,8,아침연속극(달콤한원수),12.4
2017년 11월 3주,10,SBS스포츠축구(국가대표팀친선경기한국:세르비아),12.3
2017년 11월 4주,2,미운우리새끼다시쓰는육아일기,19.1
2017년 11월 4주,8,아침연속극(달콤한원수),12.6
2017년 12월 1주,2,미운우리새끼다시쓰는육아일기,17.9
2017년 12월 1주,8,정글의법칙쿡아일랜드,12.7
2017년 12월 1주,10,아침연속극(달콤한원수),12.5
2017년 12월 2주,2,미운우리새끼다시쓰는육아일기,19.2
2017년 12월 2주,7,정글의법칙쿡아일랜드,12.7
2017년 12월 3주,2,미운우리새끼다시쓰는육아일기,17.7
2017년 12월 4주,2,미운우리새끼다시쓰는육아일기,18.9
2017년 12월 4주,9,정글의법칙쿡아일랜드,12.3
2017년 12월 5주,6,SBS연예대상2부,13.8
2017년 12월 5주,8,SBS연예대상1부,13.1
2017년 12월 5주,9,순간포착,12.5
2018년 1월 1주,4,미운우리새끼다시쓰는육아일기,18.5
2018년 1월 2주,4,미운우리새끼다시쓰는육아일기,17.4
2018년 1월 3주,5,미운우리새끼다시쓰는육아일기,18.4
2018년 1월 4주,5,미운우리새끼다시쓰는육아일기,19.4
2018년 1월 4주,10,드라마스페셜(리턴),13.1
2018년 2월 1주,5,미운우리새끼다시쓰는육아일기,17.3
2018년 2월 1주,7,드라마스페셜(리턴),14.5
2018년 2월 1주,8,순간포착,14.0
2018년 2월 2주,3,미운우리새끼다시쓰는육아일기,18.4
2018년 2월 2주,6,드라마스페셜(리턴),15.9
2018년 2월 2주,9,SBS평창2018개회식,13.9
2018년 2월 3주,2,드라마스페셜(리턴),14.8
2018년 2월 3주,5,동상이몽2너는내운명,11.5
2018년 2월 3주,6,정글의법칙IN파타고니아,11.3
2018년 2월 4주,2,미운우리새끼다시쓰는육아일기,18.6
2018년 2월 4주,4,SBS평창2018폐회식,17.4
2018년 2월 4주,6,드라마스페셜(리턴),14.3
2018년 3월 1주,3,미운우리새끼다시쓰는육아일기,15.6
2018년 3월 1주,7,드라마스페셜(리턴),14.0
2018년 3월 2주,4,드라마스페셜(리턴),14.8
2018년 3월 2주,5,미운우리새끼다시쓰는육아일기,14.4
2018년 3월 3주,6,드라마스페셜(리턴),13.7
2018년 3월 3주,7,미운우리새끼다시쓰는육아일기,12.9
2018년 3월 4주,3,미운우리새끼다시쓰는육아일기,16.4
2018년 3월 4주,4,드라마스페셜(리턴),15.1
2018년 3월 4주,7,정글의법칙IN파타고니아,11.6
2018년 4월 1주,3,미운우리새끼다시쓰는육아일기,16.6
2018년 4월 1주,7,정글의법칙IN파타고니아,11.5
2018년 4월 1주,8,아침연속극(해피시스터즈),11.2
2018년 4월 2주,3,미운우리새끼다시쓰는육아일기,17.9
2018년 4월 2주,8,아침연속극(해피시스터즈),11.5
2018년 4월 2주,9,정글의법칙IN파타고니아,11.4
2018년 4월 3주,3,미운우리새끼다시쓰는육아일기,17.3
2018년 4월 3주,6,정글의법칙IN남극,13.0
2018년 4월 3주,7,아침연속극(해피시스터즈),11.6
2018년 4월 4주,3,미운우리새끼다시쓰는육아일기,17.6
2018년 4월 4주,9,아침연속극(해피시스터즈),11.6
2018년 4월 4주,10,정글의법칙IN남극,11.3
2018년 4월 5주,3,미운우리새끼다시쓰는육아일기,17.4
2018년 4월 5주,7,아침연속극(해피시스터즈),11.9
2018년 5월 1주,3,미운우리새끼다시쓰는육아일기,15.5
2018년 5월 1주,8,아침연속극(해피시스터즈),11.2
2018년 5월 2주,2,미운우리새끼다시쓰는육아일기,18.6
2018년 5월 2주,8,아침연속극(해피시스터즈),11.2
2018년 5월 3주,2,미운우리새끼다시쓰는육아일기,17.2
2018년 5월 3주,6,정글의법칙IN멕시코,11.3
2018년 5월 3주,7,아침연속극(해피시스터즈),11.2
2018년 5월 4주,2,미운우리새끼다시쓰는육아일기,17.6
2018년 5월 4주,6,아침연속극(해피시스터즈),11.1
2018년 5월 4주,10,정글의법칙IN멕시코,10.5
2018년 6월 1주,2,미운우리새끼다시쓰는육아일기,17.9
2018년 6월 2주,2,미운우리새끼다시쓰는육아일기,17.1
2018년 6월 2주,7,정글의법칙IN멕시코,10.8
2018년 6월 2주,10,TV동물농장,9.7
2018년 6월 3주,2,미운우리새끼다시쓰는육아일기,17.8
2018년 6월 4주,2,미운우리새끼다시쓰는육아일기,20.2
2018년 6월 4주,8,2018FIFA러시아월드컵(32강한국:스웨덴),12.5
2018년 6월 4주,10,순간포착,11.7
2018년 7월 1주,2,미운우리새끼다시쓰는육아일기,18.5
2018년 7월 2주,2,미운우리새끼다시쓰는육아일기,17.6
2018년 7월 3주,2,미운우리새끼다시쓰는육아일기,17.8
2018년 7월 3주,10,정글의법칙IN멕시코,10.4
2018년 7월 4주,2,미운우리새끼다시쓰는육아일기,16.8
2018년 7월 5주,2,미운우리새끼다시쓰는육아일기,15.7
2018년 7월 5주,9,TV동물농장,9.6
2018년 7월 5주,9,정글의법칙IN사바,9.6
2018년 8월 1주,2,미운우리새끼다시쓰는육아일기,15.7
2018년 8월 1주,8,TV동물농장,10.1
2018년 8월 2주,2,미운우리새끼다시쓰는육아일기,17.7
2018년 8월 2주,9,순간포착,10.1
2018년 8월 2주,9,TV동물농장,10.1
2018년 8월 3주,3,미운우리새끼다시쓰는육아일기,12.0
2018년 8월 4주,2,SBS2018아시안게임축구(예선한국:키르기스스탄),17.3
2018년 8월 4주,9,그것이알고싶다,10.2
2018년 9월 1주,2,미운우리새끼다시쓰는육아일기,18.9
2018년 9월 2주,3,미운우리새끼다시쓰는육아일기,14.8
2018년 9월 2주,4,SBS스포츠축구(국가대표팀친선경기한국:코스타리카),13.9
2018년 9월 2주,6,정글의법칙IN사바,12.0
2018년 9월 3주,4,미운우리새끼다시쓰는육아일기,16.2
2018년 9월 3주,6,정글의법칙IN사바,11.6
2018년 9월 3주,10,TV동물농장,10.7
2018년 9월 4주,3,미운우리새끼다시쓰는육아일기,13.3
2018년 9월 4주,7,정글의법칙IN사바,10.7
2018년 9월 4주,10,월화드라마(서른이지만열일곱입니다),10.2
2018년 9월 5주,3,미운우리새끼다시쓰는육아일기,14.7
2018년 9월 5주,4,추석특선대작(신과함께2부),13.6
2018년 9월 5주,10,추석특선대작(신과함께1부),10.8
2018년 10월 1주,3,미운우리새끼다시쓰는육아일기,16.6
2018년 10월 1주,8,정글의법칙IN라스트인도양,10.7
2018년 10월 2주,3,미운우리새끼다시쓰는육아일기,16.6
2018년 10월 2주,7,정글의법칙IN라스트인도양,10.5
2018년 10월 2주,8,동거동락인생과외집사부일체,10.1
2018년 10월 3주,3,미운우리새끼다시쓰는육아일기,18.4
2018년 10월 3주,5,SBS스포츠축구(국가대표팀친선경기한국:파나마),12.2
2018년 10월 3주,7,정글의법칙IN라스트인도양,11.4
2018년 10월 3주,8,순간포착,10.5
2018년 10월 4주,3,미운우리새끼다시쓰는육아일기,17.5
2018년 10월 4주,8,정글의법칙IN라스트인도양,11.0
2018년 11월 1주,3,미운우리새끼다시쓰는육아일기,17.0
2018년 11월 2주,2,미운우리새끼다시쓰는육아일기,18.3
2018년 11월 3주,2,미운우리새끼다시쓰는육아일기,18.8
2018년 11월 3주,10,순간포착,10.9
2018년 11월 4주,2,미운우리새끼다시쓰는육아일기,19.1
2018년 12월 1주,2,미운우리새끼다시쓰는육아일기,19.3
2018년 12월 1주,10,동거동락인생과외집사부일체,10.6
2018년 12월 2주,2,미운우리새끼다시쓰는육아일기,19.4
2018년 12월 3주,2,미운우리새끼다시쓰는육아일기,20.3
2018년 12월 3주,4,SBS스포츠축구(2018AFF스즈키컵베트남:말레이시아),18.1
2018년 12월 3주,10,순간포착,11.5
2018년 12월 4주,2,미운우리새끼다시쓰는육아일기,20.6
2018년 12월 4주,7,드라마스페셜(황후의품격THELASTEMPRESS),12.2
2018년 12월 4주,10,정글의법칙IN북마리아나,11.8
2018년 12월 5주,2,미운우리새끼다시쓰는육아일기,23.4
2018년 12월 5주,8,드라마스페셜(황후의품격THELASTEMPRESS),15.4
