기간,순위,프로그램,시청률
2010년 10월 2주,4,주말극장(이웃집웬수),21.7
2010년 10월 2주,6,특별기획(인생은아름다워),19.8
2010년 10월 2주,7,드라마스페셜(대물),19.8
2010년 10월 3주,1,드라마스페셜(대물),26.3
2010년 10월 3주,3,SBS대하드라마(자이언트),25.9
2010년 10월 3주,5,주말극장(이웃집웬수),22.5
2010년 10월 3주,8,특별기획(인생은아름다워),20.2
2010년 10월 3주,10,순간포착,17.4
2010년 10월 4주,2,SBS대하드라마(자이언트),28.7
2010년 10월 4주,3,드라마스페셜(대물),27.8
2010년 10월 4주,5,주말극장(이웃집웬수),21.8
2010년 10월 4주,6,특별기획(인생은아름다워),19.7
2010년 10월 4주,9,순간포착,16.4
2010년 10월 5주,1,SBS대하드라마(자이언트),28.7
2010년 10월 5주,2,드라마스페셜(대물),26.4
2010년 10월 5주,4,주말극장(이웃집웬수),23.2
2010년 10월 5주,6,특별기획(인생은아름다워),19.7
2010년 10월 5주,10,순간포착,16.6
2010년 11월 1주,1,SBS대하드라마(자이언트),28.9
2010년 11월 1주,3,드라마스페셜(대물),25.2
2010년 11월 1주,5,특별기획(인생은아름다워),19.5
2010년 11월 1주,8,순간포착,16.7
2010년 11월 2주,1,SBS대하드라마(자이언트),29.6
2010년 11월 2주,3,드라마스페셜(대물),26.2
2010년 11월 2주,5,강심장,19.5
2010년 11월 2주,9,순간포착,17.7
2010년 11월 2주,10,특별기획(시크릿가든),16.0
2010년 11월 3주,1,SBS대하드라마(자이언트),29.5
2010년 11월 3주,3,드라마스페셜(대물),25.6
2010년 11월 3주,7,특별기획(시크릿가든),19.9
2010년 11월 3주,9,강심장,17.3
2010년 11월 4주,1,SBS대하드라마(자이언트),29.9
2010년 11월 4주,2,드라마스페셜(대물),26.9
2010년 11월 4주,5,특별기획(시크릿가든),22.3
2010년 11월 4주,9,아침연속극(여자를몰라),17.5
2010년 12월 1주,1,SBS대하드라마(자이언트),32.0
2010년 12월 1주,3,드라마스페셜(대물),25.2
2010년 12월 1주,6,특별기획(시크릿가든),22.3
2010년 12월 1주,10,아침연속극(여자를몰라),18.3
2010년 12월 2주,1,SBS대하드라마(자이언트),35.6
2010년 12월 2주,4,드라마스페셜(대물),26.8
2010년 12월 2주,5,특별기획(시크릿가든),24.9
2010년 12월 2주,9,아침연속극(여자를몰라),18.1
2010년 12월 3주,3,드라마스페셜(대물),26.2
2010년 12월 3주,5,특별기획(시크릿가든),24.2
2010년 12월 3주,6,SBS대기획(아테나전쟁의여신),22.0
2010년 12월 3주,8,아침연속극(여자를몰라),18.4
2010년 12월 3주,9,순간포착,17.3
2010년 12월 4주,4,드라마스페셜(대물),26.2
2010년 12월 4주,5,특별기획(시크릿가든),23.1
2010년 12월 4주,8,SBS대기획(아테나전쟁의여신),19.0
2010년 12월 4주,10,아침연속극(여자를몰라),17.7
2011년 1월 1주,2,특별기획(시크릿가든),26.8
2011년 1월 1주,6,SBS연예대상2부,19.6
2011년 1월 1주,7,놀라운대회스타킹,19.4
2011년 1월 1주,9,SBS대기획(아테나전쟁의여신),18.1
2011년 1월 1주,10,SBS연예대상1부,17.9
2011년 1월 2주,2,특별기획(시크릿가든),29.4
2011년 1월 2주,7,순간포착,18.7
2011년 1월 2주,10,드라마스페셜(싸인),16.9
2011년 1월 3주,1,특별기획(시크릿가든),34.1
2011년 1월 3주,10,순간포착,16.9
2011년 1월 5주,7,놀라운대회스타킹,20.0
2011년 2월 2주,6,드라마스페셜(싸인),19.9
2011년 2월 3주,8,드라마스페셜(싸인),19.1
2011년 2월 4주,8,드라마스페셜(싸인),18.6
2011년 3월 1주,2,드라마스페셜(싸인),23.6
2011년 3월 2주,2,드라마스페셜(싸인),24.3
2011년 3월 2주,10,일일드라마(호박꽃순정),15.7
2011년 3월 3주,10,일일드라마(호박꽃순정),15.4
2011년 4월 1주,6,특별기획(신기생뎐),18.4
2011년 4월 1주,9,일일드라마(호박꽃순정),16.1
2011년 4월 2주,6,특별기획(신기생뎐),18.9
2011년 4월 2주,10,일일드라마(호박꽃순정),15.4
2011년 4월 3주,6,특별기획(신기생뎐),17.7
2011년 4월 4주,6,특별기획(신기생뎐),19.0
2011년 4월 4주,9,SBS월화미니시리즈(마이더스),15.6
2011년 5월 1주,3,SBS스포츠피겨(ISU세계선수권대회<여자프리>),21.7
2011년 5월 1주,8,SBS스포츠피겨(ISU세계선수권대회<여자쇼트>),18.2
2011년 5월 1주,10,특별기획(신기생뎐),16.2
2011년 5월 2주,6,특별기획(신기생뎐),17.3
2011년 5월 2주,9,SBS월화미니시리즈(마이더스),15.7
2011년 5월 3주,7,특별기획(신기생뎐),18.3
2011년 5월 4주,3,특별기획(신기생뎐),19.2
2011년 5월 5주,5,특별기획(신기생뎐),19.4
2011년 6월 1주,2,특별기획(신기생뎐),19.3
2011년 6월 2주,2,특별기획(신기생뎐),22.0
2011년 6월 3주,2,특별기획(신기생뎐),22.0
2011년 6월 4주,2,특별기획(신기생뎐),23.7
2011년 7월 1주,2,특별기획(신기생뎐),23.4
2011년 7월 1주,4,드라마스페셜(시티헌터),18.6
2011년 7월 2주,2,특별기획(신기생뎐),24.2
2011년 7월 2주,5,드라마스페셜(시티헌터),19.2
2011년 7월 3주,1,특별기획(신기생뎐),27.4
2011년 7월 3주,5,드라마스페셜(시티헌터),19.6
2011년 7월 4주,3,드라마스페셜(시티헌터),19.1
2011년 7월 5주,3,드라마스페셜(시티헌터),18.4
2011년 7월 5주,9,SBS월화드라마(무사백동수),15.6
2011년 8월 1주,5,특별기획(여인의향기),18.5
2011년 8월 1주,8,SBS월화드라마(무사백동수),16.9
2011년 8월 2주,5,특별기획(여인의향기),17.6
2011년 8월 2주,8,SBS월화드라마(무사백동수),16.0
2011년 8월 2주,9,드라마스페셜(보스를지켜라),16.0
2011년 8월 3주,4,특별기획(여인의향기),18.2
2011년 8월 3주,5,드라마스페셜(보스를지켜라),17.8
2011년 8월 3주,6,SBS월화드라마(무사백동수),17.5
2011년 8월 4주,3,특별기획(여인의향기),18.8
